[Thu Apr 15 16:02:12.998 2010] 0.001 sec [ext2/0/rel 923 (0,1000)] [idx_logs] sys !config
[Thu Apr 15 16:02:59.534 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] 28$
[Thu Apr 15 16:10:23.349 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @mne config
[Thu Apr 15 16:32:56.164 2010] 0.001 sec [ext2/0/rel 273 (0,1000)] [idx_logs] received
[Thu Apr 15 17:04:48.025 2010] 0.081 sec [ext2/0/rel 16385 (0,1000)] [idx_logs] interface
[Thu Apr 15 19:34:34.380 2010] 0.015 sec [ext2/0/rel 111 (0,1000)] [idx_logs] @mne sys
[Thu Apr 15 23:44:06.798 2010] 0.012 sec [ext2/0/rel 11 (0,1000)] [idx_logs] verbose
[Fri Apr 16 10:34:25.245 2010] 0.070 sec [ext2/0/rel 485288 (0,1000)] [idx_logs] interface
[Fri Apr 16 10:37:37.026 2010] 0.003 sec [ext2/0/rel 33319 (0,1000)] [idx_logs] @mne sys
[Fri Apr 16 12:10:34.406 2010] 0.362 sec [ext2/0/rel 4185030 (0,1000)] [idx_logs] Interface
[Fri Apr 16 12:11:56.755 2010] 0.356 sec [ext2/0/rel 4194225 (0,1000)] [idx_logs] Interface
[Fri Apr 16 12:12:52.146 2010] 0.357 sec [ext2/0/rel 4196069 (0,1000)] [idx_logs] Interface
[Fri Apr 16 14:05:52.539 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] gogogogog
[Fri Apr 16 14:13:56.275 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] foooo
[Fri Apr 16 14:14:26.444 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] foooo
[Fri Apr 16 14:15:24.884 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaaaaa
[Fri Apr 16 14:19:51.358 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaa
[Fri Apr 16 14:20:04.520 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaa
[Fri Apr 16 14:24:58.290 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:24:58.926 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:24:59.925 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:00.919 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:01.988 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:02.975 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:03.915 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:04.922 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:05.918 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:06.920 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:07.924 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:08.923 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 14:25:09.956 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs] aaaaaaaaaaaaaaaaa
[Fri Apr 16 16:50:48.687 2010] 0.383 sec [ext2/0/rel 4323266 (0,1000)] [idx_logs] interface
[Fri Apr 16 16:55:42.312 2010] 0.001 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @notes test
[Fri Apr 16 16:56:06.830 2010] 0.001 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @notes test
[Fri Apr 16 17:00:42.589 2010] 0.001 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @notes test
[Fri Apr 16 17:03:40.359 2010] 0.001 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @notes test
[Fri Apr 16 17:10:06.375 2010] 0.021 sec [ext2/0/rel 0 (0,1000)] [idx_logs] @notes test
[Fri Apr 16 20:14:35.288 2010] 0.028 sec [ext2/0/rel 0 (0,1000)] [idx_logs] int
[Fri Apr 16 20:14:42.553 2010] 0.604 sec [ext2/0/rel 6961372 (0,1000)] [idx_logs] interface
[Fri Apr 16 20:19:43.058 2010] 0.607 sec [ext2/0/rel 6961372 (0,1000)] [idx_logs] interface
[Sat Apr 17 00:59:22.477 2010] 0.000 sec [ext2/0/rel 1 (0,1000)] [idx_logs] radius
[Sat Apr 17 01:00:03.369 2010] 0.000 sec [ext2/0/rel 1 (0,1000)] [idx_logs] radius
[Sat Apr 17 01:00:32.367 2010] 0.000 sec [ext2/0/rel 1 (0,1000)] [idx_logs] radius
[Sat Apr 17 01:05:18.370 2010] 0.000 sec [ext2/0/rel 1 (0,1000)] [idx_logs] radius
[Sat Apr 17 01:06:32.585 2010] 0.000 sec [ext2/0/rel 2 (0,1000)] [idx_logs idx_delta_logs] radius
[Sat Apr 17 01:06:48.444 2010] 0.000 sec [ext2/0/rel 2 (0,1000)] [idx_logs idx_delta_logs] radius
[Sat Apr 17 01:12:00.600 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs idx_delta_logs] rad
[Sat Apr 17 01:19:04.154 2010] 0.002 sec [ext2/0/rel 1360 (0,1000)] [idx_logs idx_delta_logs] rad*
[Sat Apr 17 01:19:32.476 2010] 0.003 sec [ext2/0/rel 10071 (0,1000)] [idx_logs idx_delta_logs] sys-5*
[Sat Apr 17 01:20:23.288 2010] 0.000 sec [ext2/0/rel 0 (0,1000)] [idx_logs idx_delta_logs] @notes tes*
[Sat Apr 17 01:21:05.779 2010] 0.002 sec [ext2/0/rel 1 (0,1000)] [idx_logs idx_delta_logs] @notes test*
[Sat Apr 17 01:21:21.107 2010] 0.002 sec [ext2/0/rel 1 (0,1000)] [idx_logs idx_delta_logs] @notes test*
[Sat Apr 17 01:21:34.592 2010] 0.002 sec [ext2/0/rel 1 (0,1000)] [idx_logs idx_delta_logs] @notes test*
[Sat Apr 17 01:22:36.568 2010] 0.002 sec [ext2/0/rel 1 (0,1000)] [idx_logs idx_delta_logs] @notes test*
[Sat Apr 17 01:24:05.736 2010] 0.009 sec [ext2/0/rel 54869 (0,1000)] [idx_logs idx_delta_logs] test*
[Sat Apr 17 01:24:23.929 2010] 0.008 sec [ext2/0/rel 54869 (0,1000)] [idx_logs idx_delta_logs] test*
[Sat Apr 17 09:39:23.499 2010] 0.222 sec [ext2/0/rel 3818 (0,1000)] [idx_logs idx_delta_logs] inter
[Sat Apr 17 09:42:45.209 2010] 0.003 sec [ext2/0/rel 6636 (0,1000)] [idx_logs idx_delta_logs] inter*
